id;age;job;marital;education;default;balance;housing;loan;contact;day;month;duration;campaign;pdays;previous;poutcome;y
92656;38;technician;married;tertiary;no;4383;no;no;cellular;4;feb;1381;4;-1;0;unknown;yes
55435;30;admin.;single;secondary;no;313;yes;no;cellular;4;feb;1121;2;-1;0;unknown;yes
30244;26;blue-collar;married;secondary;no;895;yes;no;cellular;4;feb;820;3;-1;0;unknown;no
72620;45;self-employed;divorced;secondary;no;1966;yes;no;cellular;4;feb;76;2;204;3;other;no
70677;46;unemployed;married;secondary;no;594;no;no;cellular;4;feb;197;2;-1;0;unknown;no
62439;32;management;married;tertiary;no;1230;yes;no;cellular;4;feb;35;3;253;4;failure;no
84448;36;admin.;married;secondary;no;110;yes;no;telephone;4;feb;185;1;-1;0;unknown;no
66335;30;blue-collar;single;secondary;no;-276;no;yes;cellular;4;feb;361;8;-1;0;unknown;no
74387;48;management;married;tertiary;no;4803;no;no;telephone;4;feb;413;6;-1;0;unknown;no
84078;43;technician;married;secondary;no;1667;no;yes;cellular;4;feb;1213;3;-1;0;unknown;no
35736;40;blue-collar;single;secondary;no;6915;yes;no;cellular;4;feb;156;2;-1;0;unknown;no
42855;37;technician;married;secondary;no;277;yes;no;cellular;4;feb;244;2;-1;0;unknown;no
36098;28;management;married;tertiary;no;1246;no;no;cellular;4;feb;239;2;-1;0;unknown;no
12621;51;admin.;divorced;tertiary;no;178;yes;no;cellular;4;feb;184;2;-1;0;unknown;no
79035;29;technician;married;secondary;no;273;no;no;cellular;4;feb;2775;2;-1;0;unknown;yes
14305;28;student;single;secondary;no;0;no;no;cellular;5;feb;15;8;-1;0;unknown;no
75736;44;management;divorced;primary;no;641;yes;no;cellular;5;feb;79;2;269;3;other;no
99949;50;blue-collar;single;secondary;no;-111;yes;no;cellular;5;feb;19;11;-1;0;unknown;no
14280;41;technician;married;secondary;no;-329;no;no;telephone;5;feb;13;8;238;9;other;no
18795;36;student;single;secondary;no;904;no;no;telephone;5;feb;36;9;8;13;other;no
70509;31;management;divorced;tertiary;no;106;yes;no;cellular;5;feb;67;2;202;1;failure;no
91593;32;unemployed;married;secondary;no;2400;yes;yes;cellular;5;feb;450;3;-1;0;unknown;no
88155;45;blue-collar;married;primary;no;572;no;no;telephone;5;feb;13;6;-1;0;unknown;no
90417;50;admin.;married;secondary;no;761;no;yes;cellular;5;feb;273;3;-1;0;unknown;no
47169;34;blue-collar;married;secondary;no;0;yes;yes;cellular;5;feb;293;6;-1;0;unknown;no
67268;33;management;married;secondary;no;165;yes;no;telephone;5;feb;126;3;258;15;other;no
96749;48;admin.;divorced;secondary;no;341;no;yes;cellular;5;feb;382;4;-1;0;unknown;no
89681;43;retired;single;secondary;no;53;no;no;telephone;5;feb;305;4;-1;0;unknown;no
98956;34;services;married;secondary;no;314;yes;yes;telephone;5;feb;114;3;-1;0;unknown;no
67463;51;technician;divorced;primary;no;300;no;yes;cellular;5;feb;8;6;-1;0;unknown;no
37084;27;blue-collar;married;secondary;no;245;yes;no;cellular;5;feb;7;7;255;11;failure;no
19399;27;housemaid;single;primary;no;494;no;no;cellular;5;feb;16;10;-1;0;unknown;no
71689;59;blue-collar;divorced;secondary;no;1774;no;yes;cellular;5;feb;14;9;-1;0;unknown;no
46342;43;management;single;secondary;no;1063;yes;no;cellular;5;feb;141;3;-1;0;unknown;no
92063;46;management;married;tertiary;no;-191;yes;no;cellular;5;feb;674;3;202;3;failure;no
